Testing v8 version different from logging version
Statistical profiling result from typescript272-isolate-0x55f0275101c0-v8.log, (5169 ticks, 86 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   1831   35.4%          /usr/local/bin/node
   1419   27.5%          /lib/ld-musl-x86_64.so.1
    240    4.6%          [vdso]
      2    0.0%          /usr/lib/libstdc++.so.6.0.22

 [JavaScript]:
   ticks  total  nonlib   name
      2    0.0%    0.1%  LazyCompile: ~compareSignaturesIdentical /app/node_modules/typescript/lib/tsc.js:27838:44
      2    0.0%    0.1%  LazyCompile: ~combineSymbolTables /app/node_modules/typescript/lib/tsc.js:20237:37
      2    0.0%    0.1%  LazyCompile: ~checkVariableStatement /app/node_modules/typescript/lib/tsc.js:36195:40
      2    0.0%    0.1%  LazyCompile: ~checkTypeParameters /app/node_modules/typescript/lib/tsc.js:36751:37
      2    0.0%    0.1%  LazyCompile: ~checkTypeParameter /app/node_modules/typescript/lib/tsc.js:34489:36
      2    0.0%    0.1%  LazyCompile: ~checkIndexConstraintForProperty /app/node_modules/typescript/lib/tsc.js:36709:53
      2    0.0%    0.1%  LazyCompile: ~checkGrammarArrowFunction /app/node_modules/typescript/lib/tsc.js:39395:43
      2    0.0%    0.1%  LazyCompile: ~checkFunctionOrMethodDeclaration /app/node_modules/typescript/lib/tsc.js:35656:50
      2    0.0%    0.1%  LazyCompile: ~checkCollisionWithCapturedSuperVariable /app/node_modules/typescript/lib/tsc.js:35946:57
      2    0.0%    0.1%  LazyCompile: ~bind /app/node_modules/typescript/lib/tsc.js:17245:22
      2    0.0%    0.1%  LazyCompile: ~addDeclarationToSymbol /app/node_modules/typescript/lib/tsc.js:15944:40
      2    0.0%    0.1%  LazyCompile: ~Stats fs.js:174:15
      2    0.0%    0.1%  LazyCompile: ~DoJoin native array.js:94:16
      2    0.0%    0.1%  LazyCompile: ~<anonymous> /app/node_modules/typescript/lib/tsc.js:2176:67
      2    0.0%    0.1%  LazyCompile: ~<anonymous> /app/node_modules/typescript/lib/tsc.js:14943:67
      2    0.0%    0.1%  LazyCompile: *speculationHelper /app/node_modules/typescript/lib/tsc.js:5553:35
      2    0.0%    0.1%  LazyCompile: *resolveName /app/node_modules/typescript/lib/tsc.js:20421:29
      2    0.0%    0.1%  LazyCompile: *resolveEntityName /app/node_modules/typescript/lib/tsc.js:21028:35
      2    0.0%    0.1%  LazyCompile: *recursiveTypeRelatedTo /app/node_modules/typescript/lib/tsc.js:27161:44
      2    0.0%    0.1%  LazyCompile: *parseTagComments /app/node_modules/typescript/lib/tsc.js:15101:42
      2    0.0%    0.1%  LazyCompile: *parsePostfixTypeOrHigher /app/node_modules/typescript/lib/tsc.js:12472:42
      2    0.0%    0.1%  LazyCompile: *parseParameter /app/node_modules/typescript/lib/tsc.js:12118:32
      2    0.0%    0.1%  LazyCompile: *getDeclarationName /app/node_modules/typescript/lib/tsc.js:15967:36
      2    0.0%    0.1%  LazyCompile: *getApparentType /app/node_modules/typescript/lib/tsc.js:24428:33
      2    0.0%    0.1%  LazyCompile: *declareSymbol /app/node_modules/typescript/lib/tsc.js:16024:31
      2    0.0%    0.1%  LazyCompile: *checkFunctionOrMethodDeclaration /app/node_modules/typescript/lib/tsc.js:35656:50
      2    0.0%    0.1%  LazyCompile: *addTypeToUnion /app/node_modules/typescript/lib/tsc.js:25452:32
      2    0.0%    0.1%  LazyCompile: *addInheritedMembers /app/node_modules/typescript/lib/tsc.js:23673:37
      2    0.0%    0.1%  KeyedLoadIC: A keyed load IC from the snapshot {1}
      2    0.0%    0.1%  Builtin: RegExpReplace
      2    0.0%    0.1%  Builtin: FastNewObject
      1    0.0%    0.1%  Stub: RecordWriteStub {7}
      1    0.0%    0.1%  Stub: RecordWriteStub {6}
      1    0.0%    0.1%  Stub: RecordWriteStub {5}
      1    0.0%    0.1%  Stub: RecordWriteStub {4}
      1    0.0%    0.1%  Stub: RecordWriteStub {3}
      1    0.0%    0.1%  Stub: RecordWriteStub {2}
      1    0.0%    0.1%  Stub: RecordWriteStub
      1    0.0%    0.1%  Stub: GetPropertyStub
      1    0.0%    0.1%  Stub: CEntryStub {1}
      1    0.0%    0.1%  RegExp: ^\\/\\/\\/\\s*<amd-dependency\\s
      1    0.0%    0.1%  LazyCompile: ~unescapeLeadingUnderscores /app/node_modules/typescript/lib/tsc.js:9007:40
      1    0.0%    0.1%  LazyCompile: ~typeToString /app/node_modules/typescript/lib/tsc.js:21631:30
      1    0.0%    0.1%  LazyCompile: ~tryScan /app/node_modules/typescript/lib/tsc.js:5593:25
      1    0.0%    0.1%  LazyCompile: ~tryReadPackageJsonFields /app/node_modules/typescript/lib/tsc.js:18707:38
      1    0.0%    0.1%  LazyCompile: ~tryGetTypeFromEffectiveTypeNode /app/node_modules/typescript/lib/tsc.js:22920:49
      1    0.0%    0.1%  LazyCompile: ~toOffset /app/node_modules/typescript/lib/tsc.js:881:22
      1    0.0%    0.1%  LazyCompile: ~symbolName /app/node_modules/typescript/lib/tsc.js:9016:24
      1    0.0%    0.1%  LazyCompile: ~specToDiagnostic /app/node_modules/typescript/lib/tsc.js:64070:30
      1    0.0%    0.1%  LazyCompile: ~signaturesIdenticalTo /app/node_modules/typescript/lib/tsc.js:27558:43
      1    0.0%    0.1%  LazyCompile: ~signatureRelatedTo /app/node_modules/typescript/lib/tsc.js:27555:40
      1    0.0%    0.1%  LazyCompile: ~shouldReportBadModifier /app/node_modules/typescript/lib/tsc.js:39289:41
      1    0.0%    0.1%  LazyCompile: ~setYieldContext /app/node_modules/typescript/lib/tsc.js:11150:33
      1    0.0%    0.1%  LazyCompile: ~setParentPointers /app/node_modules/typescript/lib/tsc.js:18506:31
      1    0.0%    0.1%  LazyCompile: ~setAwaitContext /app/node_modules/typescript/lib/tsc.js:11156:33
      1    0.0%    0.1%  LazyCompile: ~sameMap /app/node_modules/typescript/lib/tsc.js:483:21
      1    0.0%    0.1%  LazyCompile: ~resolveTypeReferenceDirectives /app/node_modules/typescript/lib/tsc.js:61577:48
      1    0.0%    0.1%  LazyCompile: ~resolveDeclaredMembers /app/node_modules/typescript/lib/tsc.js:23681:40
      1    0.0%    0.1%  LazyCompile: ~resolveBaseTypesOfInterface /app/node_modules/typescript/lib/tsc.js:23385:45
      1    0.0%    0.1%  LazyCompile: ~reportObviousModifierErrors /app/node_modules/typescript/lib/tsc.js:39282:45
      1    0.0%    0.1%  LazyCompile: ~removeTrailingNewlines /app/node_modules/typescript/lib/tsc.js:15026:48
      1    0.0%    0.1%  LazyCompile: ~removeLeadingNewlines /app/node_modules/typescript/lib/tsc.js:15021:47
      1    0.0%    0.1%  LazyCompile: ~pushIfUnique /app/node_modules/typescript/lib/tsc.js:899:26
      1    0.0%    0.1%  LazyCompile: ~parseUnaryExpressionOrHigher /app/node_modules/typescript/lib/tsc.js:13086:46
      1    0.0%    0.1%  LazyCompile: ~parseTypeParameters /app/node_modules/typescript/lib/tsc.js:12100:37
      1    0.0%    0.1%  LazyCompile: ~parseTypeParameter /app/node_modules/typescript/lib/tsc.js:12084:36
      1    0.0%    0.1%  LazyCompile: ~parseTypeAnnotation /app/node_modules/typescript/lib/tsc.js:12630:37
      1    0.0%    0.1%  LazyCompile: ~parseTag /app/node_modules/typescript/lib/tsc.js:15048:34
      1    0.0%    0.1%  LazyCompile: ~parseSemicolon /app/node_modules/typescript/lib/tsc.js:11336:32
      1    0.0%    0.1%  LazyCompile: ~parsePostfixTypeOrHigher /app/node_modules/typescript/lib/tsc.js:12472:42
      1    0.0%    0.1%  LazyCompile: ~parseModifiers /app/node_modules/typescript/lib/tsc.js:14413:32
      1    0.0%    0.1%  LazyCompile: ~parseLiteralTypeNode /app/node_modules/typescript/lib/tsc.js:12357:38
      1    0.0%    0.1%  LazyCompile: ~parseJSDocIdentifierName /app/node_modules/typescript/lib/tsc.js:15499:50
      1    0.0%    0.1%  LazyCompile: ~parseIdentifierName /app/node_modules/typescript/lib/tsc.js:11419:37
      1    0.0%    0.1%  LazyCompile: ~parseIdentifier /app/node_modules/typescript/lib/tsc.js:11416:33
      1    0.0%    0.1%  LazyCompile: ~parseHeritageClauses /app/node_modules/typescript/lib/tsc.js:14508:38
      1    0.0%    0.1%  LazyCompile: ~parseDecorators /app/node_modules/typescript/lib/tsc.js:14398:33
      1    0.0%    0.1%  LazyCompile: ~parseDeclaration /app/node_modules/typescript/lib/tsc.js:14119:34
      1    0.0%    0.1%  LazyCompile: ~nextTokenCanFollowModifier /app/node_modules/typescript/lib/tsc.js:11458:44
      1    0.0%    0.1%  LazyCompile: ~nextTick internal/process/next_tick.js:245:20
      1    0.0%    0.1%  LazyCompile: ~map /app/node_modules/typescript/lib/tsc.js:463:17
      1    0.0%    0.1%  LazyCompile: ~makeUnaryTypeMapper /app/node_modules/typescript/lib/tsc.js:26212:37
      1    0.0%    0.1%  LazyCompile: ~iterateCommentRanges /app/node_modules/typescript/lib/tsc.js:4376:34
      1    0.0%    0.1%  LazyCompile: ~isTypeReferenceWithGenericArguments /app/node_modules/typescript/lib/tsc.js:27712:53
      1    0.0%    0.1%  LazyCompile: ~isTypeParameterDeclaration /app/node_modules/typescript/lib/tsc.js:9226:40
      1    0.0%    0.1%  LazyCompile: ~isTypeMemberStart /app/node_modules/typescript/lib/tsc.js:12246:35
      1    0.0%    0.1%  LazyCompile: ~isTypeAssignableTo /app/node_modules/typescript/lib/tsc.js:26505:36
      1    0.0%    0.1%  LazyCompile: ~isThisless /app/node_modules/typescript/lib/tsc.js:23648:28
      1    0.0%    0.1%  LazyCompile: ~isStartOfStatement /app/node_modules/typescript/lib/tsc.js:13992:36
      1    0.0%    0.1%  LazyCompile: ~isStartOfMappedType /app/node_modules/typescript/lib/tsc.js:12306:37
      1    0.0%    0.1%  LazyCompile: ~isRightSideOfQualifiedNameOrPropertyAccess /app/node_modules/typescript/lib/tsc.js:8349:56
      1    0.0%    0.1%  LazyCompile: ~isReservedMemberName /app/node_modules/typescript/lib/tsc.js:21351:38
      1    0.0%    0.1%  LazyCompile: ~isReadonlySymbol /app/node_modules/typescript/lib/tsc.js:33619:34
      1    0.0%    0.1%  LazyCompile: ~isPartialMappedType /app/node_modules/typescript/lib/tsc.js:24207:37
      1    0.0%    0.1%  LazyCompile: ~isObjectLiteralType /app/node_modules/typescript/lib/tsc.js:28664:37
      1    0.0%    0.1%  LazyCompile: ~isNumericName /app/node_modules/typescript/lib/tsc.js:30957:31
      1    0.0%    0.1%  LazyCompile: ~isNonLocalAlias /app/node_modules/typescript/lib/tsc.js:20957:33
      1    0.0%    0.1%  LazyCompile: ~isNonBindableDynamicName /app/node_modules/typescript/lib/tsc.js:23708:42
      1    0.0%    0.1%  LazyCompile: ~isMethodDeclaration /app/node_modules/typescript/lib/tsc.js:9250:33
      1    0.0%    0.1%  LazyCompile: ~isLiteralPropertyName /app/node_modules/typescript/lib/tsc.js:11422:39
      1    0.0%    0.1%  LazyCompile: ~isListElement /app/node_modules/typescript/lib/tsc.js:11495:31
      1    0.0%    0.1%  LazyCompile: ~isIgnoredJsxProperty /app/node_modules/typescript/lib/tsc.js:26785:38
