Testing v8 version different from logging version
Statistical profiling result from isolate-0x55df67c161c0-v8.log, (31154 ticks, 186 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      3    0.0%    0.1%  LazyCompile: *parseNonArrayType /app/node_modules/typescript/lib/tsc.js:14017:35
      3    0.0%    0.1%  LazyCompile: *isSimpleTypeRelatedTo /app/node_modules/typescript/lib/tsc.js:31891:39
      3    0.0%    0.1%  LazyCompile: *isGlobalSourceFile /app/node_modules/typescript/lib/tsc.js:24396:36
      3    0.0%    0.1%  LazyCompile: *getTypeReferenceType /app/node_modules/typescript/lib/tsc.js:29902:38
      3    0.0%    0.1%  LazyCompile: *getTypeListId /app/node_modules/typescript/lib/tsc.js:29773:31
      3    0.0%    0.1%  LazyCompile: *getMembersOfSymbol /app/node_modules/typescript/lib/tsc.js:28425:36
      3    0.0%    0.1%  LazyCompile: *getConstraintOfTypeParameter /app/node_modules/typescript/lib/tsc.js:28965:46
      3    0.0%    0.1%  LazyCompile: *compareSignaturesIdentical /app/node_modules/typescript/lib/tsc.js:33123:44
      3    0.0%    0.1%  LazyCompile: *checkVariableLikeDeclaration /app/node_modules/typescript/lib/tsc.js:41693:46
      3    0.0%    0.1%  LazyCompile: *checkSignatureDeclaration /app/node_modules/typescript/lib/tsc.js:40136:43
      3    0.0%    0.1%  LazyCompile: *checkParameter /app/node_modules/typescript/lib/tsc.js:40027:32
      3    0.0%    0.1%  LazyCompile: *checkFunctionOrMethodDeclaration /app/node_modules/typescript/lib/tsc.js:41227:50
      3    0.0%    0.1%  Builtin: StringPrototypeIndexOf
      3    0.0%    0.1%  Builtin: StrictEqual
      3    0.0%    0.1%  Builtin: Add {1}
      2    0.0%    0.1%  Stub: RecordWriteStub {9}
      2    0.0%    0.1%  LazyCompile: ~tryGetDeclaredTypeOfSymbol /app/node_modules/typescript/lib/tsc.js:28220:44
      2    0.0%    0.1%  LazyCompile: ~speculationHelper /app/node_modules/typescript/lib/tsc.js:12811:35
      2    0.0%    0.1%  LazyCompile: ~sort native array.js:748:46
      2    0.0%    0.1%  LazyCompile: ~resolveObjectTypeMembers /app/node_modules/typescript/lib/tsc.js:28459:42
      2    0.0%    0.1%  LazyCompile: ~resolveEntityName /app/node_modules/typescript/lib/tsc.js:25172:35
      2    0.0%    0.1%  LazyCompile: ~registerForUnusedIdentifiersCheck /app/node_modules/typescript/lib/tsc.js:41265:51
      2    0.0%    0.1%  LazyCompile: ~reducePathComponents /app/node_modules/typescript/lib/tsc.js:11276:34
      2    0.0%    0.1%  LazyCompile: ~pushTypeResolution /app/node_modules/typescript/lib/tsc.js:26964:36
      2    0.0%    0.1%  LazyCompile: ~propertiesRelatedTo /app/node_modules/typescript/lib/tsc.js:32642:41
      2    0.0%    0.1%  LazyCompile: ~parseLiteralLikeNode /app/node_modules/typescript/lib/tsc.js:13553:38
      2    0.0%    0.1%  LazyCompile: ~parseDelimitedList /app/node_modules/typescript/lib/tsc.js:13434:36
      2    0.0%    0.1%  LazyCompile: ~parseDecorators /app/node_modules/typescript/lib/tsc.js:16029:33
      2    0.0%    0.1%  LazyCompile: ~parseDeclaration /app/node_modules/typescript/lib/tsc.js:15761:34
      2    0.0%    0.1%  LazyCompile: ~nullCheck fs.js:157:19
      2    0.0%    0.1%  LazyCompile: ~join native array.js:287:46
      2    0.0%    0.1%  LazyCompile: ~isVolumeCharacter /app/node_modules/typescript/lib/tsc.js:11150:31
      2    0.0%    0.1%  LazyCompile: ~isTypeParameterSymbolDeclaredInContainer /app/node_modules/typescript/lib/tsc.js:24772:58
      2    0.0%    0.1%  LazyCompile: ~isTypeMemberStart /app/node_modules/typescript/lib/tsc.js:13840:35
      2    0.0%    0.1%  LazyCompile: ~isThislessVariableLikeDeclaration /app/node_modules/typescript/lib/tsc.js:28266:51
      2    0.0%    0.1%  LazyCompile: ~isPartOfTypeNode /app/node_modules/typescript/lib/tsc.js:6198:30
      2    0.0%    0.1%  LazyCompile: ~isNextNonwhitespaceTokenEndOfFile /app/node_modules/typescript/lib/tsc.js:16600:59
      2    0.0%    0.1%  LazyCompile: ~isJSDocSignature /app/node_modules/typescript/lib/tsc.js:10145:30
      2    0.0%    0.1%  LazyCompile: ~isExpressionKind /app/node_modules/typescript/lib/tsc.js:10546:30
      2    0.0%    0.1%  LazyCompile: ~hasType /app/node_modules/typescript/lib/tsc.js:26989:25
