Testing v8 version different from logging version
Statistical profiling result from typescript292-isolate-0x559bf4aac1c0-v8.log, (32866 ticks, 181 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      3    0.0%    0.1%  LazyCompile: ~checkExpression /app/node_modules/typescript/lib/tsc.js:37623:33
      3    0.0%    0.1%  LazyCompile: ~assert /app/node_modules/typescript/lib/tsc.js:2558:24
      3    0.0%    0.1%  LazyCompile: ~_addListener events.js:233:22
      3    0.0%    0.1%  LazyCompile: ~FSWatcher.start fs.js:1370:37
      3    0.0%    0.1%  LazyCompile: ~EventEmitter events.js:27:22
      3    0.0%    0.1%  LazyCompile: *visitNodes /app/node_modules/typescript/lib/tsc.js:11760:24
      3    0.0%    0.1%  LazyCompile: *resolveNameHelper /app/node_modules/typescript/lib/tsc.js:22320:35
      3    0.0%    0.1%  LazyCompile: *iterateCommentRanges /app/node_modules/typescript/lib/tsc.js:5172:34
      3    0.0%    0.1%  LazyCompile: *getMembersOfSymbol /app/node_modules/typescript/lib/tsc.js:26174:36
      3    0.0%    0.1%  LazyCompile: *forEachChild /app/node_modules/typescript/lib/tsc.js:11780:26
      3    0.0%    0.1%  LazyCompile: *createNode /app/node_modules/typescript/lib/tsc.js:12685:28
      3    0.0%    0.1%  LazyCompile: *checkFunctionOrMethodDeclaration /app/node_modules/typescript/lib/tsc.js:38955:50
      3    0.0%    0.1%  LazyCompile: *bindWorker /app/node_modules/typescript/lib/tsc.js:18971:28
      3    0.0%    0.1%  KeyedStoreIC: A keyed store IC from the snapshot {1}
      3    0.0%    0.1%  Builtin: ToString
      3    0.0%    0.1%  Builtin: StringPrototypeSlice
      3    0.0%    0.1%  Builtin: StringPrototypeIndexOf
      3    0.0%    0.1%  Builtin: Add {1}
      2    0.0%    0.1%  Stub: RecordWriteStub
      2    0.0%    0.1%  Stub: CEntryStub
      2    0.0%    0.1%  LazyCompile: ~write /app/node_modules/typescript/lib/tsc.js:3178:33
      2    0.0%    0.1%  LazyCompile: ~tryGetDeclaredTypeOfSymbol /app/node_modules/typescript/lib/tsc.js:25970:44
      2    0.0%    0.1%  LazyCompile: ~signaturesRelatedTo /app/node_modules/typescript/lib/tsc.js:30500:41
      2    0.0%    0.1%  LazyCompile: ~shouldReportBadModifier /app/node_modules/typescript/lib/tsc.js:42726:41
      2    0.0%    0.1%  LazyCompile: ~resolveTypeReferenceName /app/node_modules/typescript/lib/tsc.js:27646:42
      2    0.0%    0.1%  LazyCompile: ~resolvePath /app/node_modules/typescript/lib/tsc.js:2023:25
      2    0.0%    0.1%  LazyCompile: ~resolveDeclaredMembers /app/node_modules/typescript/lib/tsc.js:26059:40
      2    0.0%    0.1%  LazyCompile: ~reportObviousModifierErrors /app/node_modules/typescript/lib/tsc.js:42719:45
      2    0.0%    0.1%  LazyCompile: ~registerForUnusedIdentifiersCheck /app/node_modules/typescript/lib/tsc.js:38993:51
      2    0.0%    0.1%  LazyCompile: ~reducePathComponents /app/node_modules/typescript/lib/tsc.js:1901:34
      2    0.0%    0.1%  LazyCompile: ~recursiveTypeRelatedTo /app/node_modules/typescript/lib/tsc.js:30117:44
      2    0.0%    0.1%  LazyCompile: ~processReferencedFiles /app/node_modules/typescript/lib/tsc.js:64381:40
      2    0.0%    0.1%  LazyCompile: ~parseTypeReference /app/node_modules/typescript/lib/tsc.js:13352:36
      2    0.0%    0.1%  LazyCompile: ~parseNonArrayType /app/node_modules/typescript/lib/tsc.js:13799:35
      2    0.0%    0.1%  LazyCompile: ~parseList /app/node_modules/typescript/lib/tsc.js:12994:27
      2    0.0%    0.1%  LazyCompile: ~parseDelimitedList /app/node_modules/typescript/lib/tsc.js:13216:36
      2    0.0%    0.1%  LazyCompile: ~parseDecorators /app/node_modules/typescript/lib/tsc.js:15821:33
      2    0.0%    0.1%  LazyCompile: ~nullCheck fs.js:157:19
      2    0.0%    0.1%  LazyCompile: ~nextTokenIsOnSameLineAndCanFollowModifier /app/node_modules/typescript/lib/tsc.js:12789:59
      2    0.0%    0.1%  LazyCompile: ~nextJSDocToken /app/node_modules/typescript/lib/tsc.js:16908:40
      2    0.0%    0.1%  LazyCompile: ~needCollisionCheckForIdentifier /app/node_modules/typescript/lib/tsc.js:39258:49
      2    0.0%    0.1%  LazyCompile: ~isVolumeCharacter /app/node_modules/typescript/lib/tsc.js:1775:31
      2    0.0%    0.1%  LazyCompile: ~isUnambiguouslyStartOfFunctionType /app/node_modules/typescript/lib/tsc.js:14006:52
      2    0.0%    0.1%  LazyCompile: ~isTypeRelatedTo /app/node_modules/typescript/lib/tsc.js:29674:33
      2    0.0%    0.1%  LazyCompile: ~isListTerminator /app/node_modules/typescript/lib/tsc.js:12931:34
      2    0.0%    0.1%  LazyCompile: ~isLineBreak /app/node_modules/typescript/lib/tsc.js:5010:25
      2    0.0%    0.1%  LazyCompile: ~isFunctionLikeKind /app/node_modules/typescript/lib/tsc.js:11093:32
      2    0.0%    0.1%  LazyCompile: ~getWidenedTypeWithContext /app/node_modules/typescript/lib/tsc.js:31153:43
      2    0.0%    0.1%  LazyCompile: ~getTypeParametersForTypeReference /app/node_modules/typescript/lib/tsc.js:38211:51
      2    0.0%    0.1%  LazyCompile: ~getTypeForVariableLikeDeclaration /app/node_modules/typescript/lib/tsc.js:25004:51
      2    0.0%    0.1%  LazyCompile: ~getTypeAliasInstantiation /app/node_modules/typescript/lib/tsc.js:27607:43
      2    0.0%    0.1%  LazyCompile: ~getSignaturesOfSymbol /app/node_modules/typescript/lib/tsc.js:27293:39
      2    0.0%    0.1%  LazyCompile: ~getSelectedModifierFlags /app/node_modules/typescript/lib/tsc.js:9244:38
      2    0.0%    0.1%  LazyCompile: ~getPropertyTypeForIndexType /app/node_modules/typescript/lib/tsc.js:28388:45
      2    0.0%    0.1%  LazyCompile: ~getPropertyOfType /app/node_modules/typescript/lib/tsc.js:26998:35
      2    0.0%    0.1%  LazyCompile: ~getNamedMembers /app/node_modules/typescript/lib/tsc.js:23409:33
      2    0.0%    0.1%  LazyCompile: ~getJSDocCommentRanges /app/node_modules/typescript/lib/tsc.js:7074:35
      2    0.0%    0.1%  LazyCompile: ~getInterfaceBaseTypeNodes /app/node_modules/typescript/lib/tsc.js:8296:39
      2    0.0%    0.1%  LazyCompile: ~getEffectiveReturnTypeNode /app/node_modules/typescript/lib/tsc.js:9045:40
      2    0.0%    0.1%  LazyCompile: ~getDeclaredTypeOfTypeAlias /app/node_modules/typescript/lib/tsc.js:25828:44
      2    0.0%    0.1%  LazyCompile: ~getContainerFlags /app/node_modules/typescript/lib/tsc.js:18529:35
      2    0.0%    0.1%  LazyCompile: ~getCombinedModifierFlags /app/node_modules/typescript/lib/tsc.js:10004:38
      2    0.0%    0.1%  LazyCompile: ~findResolutionCycleStartIndex /app/node_modules/typescript/lib/tsc.js:24787:47
      2    0.0%    0.1%  LazyCompile: ~find /app/node_modules/typescript/lib/tsc.js:402:18
      2    0.0%    0.1%  LazyCompile: ~createSymbolTable /app/node_modules/typescript/lib/tsc.js:209:31
      2    0.0%    0.1%  LazyCompile: ~createNodeArray /app/node_modules/typescript/lib/tsc.js:12699:33
      2    0.0%    0.1%  LazyCompile: ~createJSDocComment /app/node_modules/typescript/lib/tsc.js:16390:44
      2    0.0%    0.1%  LazyCompile: ~checkVarDeclaredNamesNotShadowed /app/node_modules/typescript/lib/tsc.js:39334:50
      2    0.0%    0.1%  LazyCompile: ~checkSourceElement /app/node_modules/typescript/lib/tsc.js:41079:36
      2    0.0%    0.1%  LazyCompile: ~checkSignatureDeclaration /app/node_modules/typescript/lib/tsc.js:37872:43
      2    0.0%    0.1%  LazyCompile: ~checkGrammarModifiers /app/node_modules/typescript/lib/tsc.js:42522:39
      2    0.0%    0.1%  LazyCompile: ~checkFunctionOrMethodDeclaration /app/node_modules/typescript/lib/tsc.js:38955:50
      2    0.0%    0.1%  LazyCompile: ~bindPropertyWorker /app/node_modules/typescript/lib/tsc.js:19146:36
      2    0.0%    0.1%  LazyCompile: ~bind /app/node_modules/typescript/lib/tsc.js:18912:22
      2    0.0%    0.1%  LazyCompile: ~addRange /app/node_modules/typescript/lib/tsc.js:962:22
      2    0.0%    0.1%  LazyCompile: ~addChildDirectoryWatcher /app/node_modules/typescript/lib/tsc.js:3131:46
      2    0.0%    0.1%  LazyCompile: ~Stats.isDirectory fs.js:215:39
      2    0.0%    0.1%  LazyCompile: ~Stats fs.js:174:15
      2    0.0%    0.1%  LazyCompile: ~Join native array.js:119:14
      2    0.0%    0.1%  LazyCompile: ~InnerArraySort native array.js:529:24
      2    0.0%    0.1%  LazyCompile: ~DoJoin native array.js:94:16
      2    0.0%    0.1%  LazyCompile: ~ConvertToString native array.js:132:25
      2    0.0%    0.1%  LazyCompile: ~<anonymous> /app/node_modules/typescript/lib/tsc.js:3122:153
      2    0.0%    0.1%  LazyCompile: *propertiesRelatedTo /app/node_modules/typescript/lib/tsc.js:30362:41
      2    0.0%    0.1%  LazyCompile: *parseTagComments /app/node_modules/typescript/lib/tsc.js:16474:42
      2    0.0%    0.1%  LazyCompile: *parseDelimitedList /app/node_modules/typescript/lib/tsc.js:13216:36
      2    0.0%    0.1%  LazyCompile: *isModifierKind /app/node_modules/typescript/lib/tsc.js:11020:28
      2    0.0%    0.1%  LazyCompile: *hasTypeParameterDefault /app/node_modules/typescript/lib/tsc.js:26894:41
      2    0.0%    0.1%  LazyCompile: *hasType /app/node_modules/typescript/lib/tsc.js:24798:25
      2    0.0%    0.1%  LazyCompile: *getTypeFromClassOrInterfaceReference /app/node_modules/typescript/lib/tsc.js:27579:54
      2    0.0%    0.1%  LazyCompile: *getTypeForVariableLikeDeclaration /app/node_modules/typescript/lib/tsc.js:25004:51
      2    0.0%    0.1%  LazyCompile: *getSymbolOfNode /app/node_modules/typescript/lib/tsc.js:23322:33
      2    0.0%    0.1%  LazyCompile: *getSymbolLinks /app/node_modules/typescript/lib/tsc.js:22195:32
      2    0.0%    0.1%  LazyCompile: *getSignatureFromDeclaration /app/node_modules/typescript/lib/tsc.js:27167:45
      2    0.0%    0.1%  LazyCompile: *getDeclarationModifierFlagsFromSymbol /app/node_modules/typescript/lib/tsc.js:9662:51
      2    0.0%    0.1%  LazyCompile: *getApparentType /app/node_modules/typescript/lib/tsc.js:26897:33
      2    0.0%    0.1%  LazyCompile: *fs.statSync fs.js:945:23
      2    0.0%    0.1%  LazyCompile: *forEach /app/node_modules/typescript/lib/tsc.js:307:21
      2    0.0%    0.1%  LazyCompile: *createUnionOrIntersectionProperty /app/node_modules/typescript/lib/tsc.js:26908:51
      2    0.0%    0.1%  LazyCompile: *createNodeWithJSDoc /app/node_modules/typescript/lib/tsc.js:12692:37
      2    0.0%    0.1%  LazyCompile: *compareSignaturesIdentical /app/node_modules/typescript/lib/tsc.js:30843:44
      2    0.0%    0.1%  LazyCompile: *checkSignatureDeclaration /app/node_modules/typescript/lib/tsc.js:37872:43
      2    0.0%    0.1%  LazyCompile: *checkFunctionOrConstructorSymbol /app/node_modules/typescript/lib/tsc.js:38343:50
      2    0.0%    0.1%  LazyCompile: *checkCollisionWithRequireExportsInGeneratedCode /app/node_modules/typescript/lib/tsc.js:39307:65
      2    0.0%    0.1%  LazyCompile: *bindChildrenWorker /app/node_modules/typescript/lib/tsc.js:17859:36
      2    0.0%    0.1%  LazyCompile: *aB native array.js:531:12
      2    0.0%    0.1%  LazyCompile: *InsertionSort native array.js:542:23
      2    0.0%    0.1%  Handler: An IC handler from the snapshot
      2    0.0%    0.1%  Builtin: StringLessThan
      2    0.0%    0.1%  Builtin: StringIndexOf
      2    0.0%    0.1%  Builtin: MapPrototypeForEach
      2    0.0%    0.1%  Builtin: AdaptorWithBuiltinExitFrame
      1    0.0%    0.0%  Stub: StringAddStub {2}
      1    0.0%    0.0%  Stub: RecordWriteStub {9}
      1    0.0%    0.0%  Stub: RecordWriteStub {8}
      1    0.0%    0.0%  Stub: RecordWriteStub {7}
      1    0.0%    0.0%  Stub: RecordWriteStub {6}
      1    0.0%    0.0%  Stub: RecordWriteStub {5}
      1    0.0%    0.0%  Stub: RecordWriteStub {4}
      1    0.0%    0.0%  Stub: RecordWriteStub {3}
      1    0.0%    0.0%  Stub: RecordWriteStub {2}
      1    0.0%    0.0%  Stub: RecordWriteStub {1}
      1    0.0%    0.0%  Stub: RecordWriteStub {11}
      1    0.0%    0.0%  Stub: RecordWriteStub {10}
      1    0.0%    0.0%  Stub: InternalArraySingleArgumentConstructorStub
      1    0.0%    0.0%  Stub: CEntryStub {1}
      1    0.0%    0.0%  Script: ~ts /app/node_modules/typescript/lib/tsc.js:6427:11
      1    0.0%    0.0%  Script: ~ts /app/node_modules/typescript/lib/tsc.js:43638:11
      1    0.0%    0.0%  Script: ~ts /app/node_modules/typescript/lib/tsc.js:189:11
      1    0.0%    0.0%  LazyCompile: ~withPackageId /app/node_modules/typescript/lib/tsc.js:20445:27
      1    0.0%    0.0%  LazyCompile: ~updateChildWatches /app/node_modules/typescript/lib/tsc.js:3115:36
      1    0.0%    0.0%  LazyCompile: ~typeToTypeNodeHelper /app/node_modules/typescript/lib/tsc.js:23802:42
      1    0.0%    0.0%  LazyCompile: ~typeRelatedToSomeType /app/node_modules/typescript/lib/tsc.js:29993:43
      1    0.0%    0.0%  LazyCompile: ~typeHasArrowFunctionBlockingParseError /app/node_modules/typescript/lib/tsc.js:13360:56
      1    0.0%    0.0%  LazyCompile: ~typeArgumentsFromTypeReferenceNode /app/node_modules/typescript/lib/tsc.js:27812:52
      1    0.0%    0.0%  LazyCompile: ~tryAddingExtensions /app/node_modules/typescript/lib/tsc.js:21055:33
      1    0.0%    0.0%  LazyCompile: ~toPath /app/node_modules/typescript/lib/tsc.js:296:20
      1    0.0%    0.0%  LazyCompile: ~symbolToTypeNode /app/node_modules/typescript/lib/tsc.js:24409:38
      1    0.0%    0.0%  LazyCompile: ~symbolIsValue /app/node_modules/typescript/lib/tsc.js:23365:31
      1    0.0%    0.0%  LazyCompile: ~statsFromValues fs.js:245:25
      1    0.0%    0.0%  LazyCompile: ~splitRoot fs.js:1543:33
      1    0.0%    0.0%  LazyCompile: ~speculationHelper /app/node_modules/typescript/lib/tsc.js:12596:35
